gender,city,work_type,company_size,position,level,experience,currency,raise_period,salary
1,0,3,1,Fullstack Developer / Engineer,2,3,0,1,82.653 TL - 105.102 TL
1,0,1,1,Backend Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
1,0,3,4,Software Engineer,2,3,0,1,44.704 TL - 54.951 TL
1,1,3,1,Frontend Developer / Engineer,2,2,0,1,82.653 TL - 105.102 TL
1,0,2,3,Cloud Engineer,Staff,8,0,1,239.003 TL - 298.752 TL
0,0,3,2,Q/A - Test Automation Engineer,3,4,0,3,37.253 TL - 44.703 TL
1,1,3,1,Product Manager,Staff,6,0,2,105.103 TL - 127.552 TL
1,1,3,2,iOS Developer,1,2,0,2,37.253 TL - 44.703 TL
1,1,3,2,Engineering Manager,Staff,5,0,1,82.653 TL - 105.102 TL
1,0,3,2,Software Engineer,3,8,0,2,82.653 TL - 105.102 TL
1,1,2,1,Frontend Developer / Engineer,2,2,0,2,37.253 TL - 44.703 TL
1,0,1,1,Software Engineer,1,2,0,1,17.002 TL - 22.451 TL
1,1,3,1,Android Developer,1,2,0,1,22.452 TL - 26.802 TL
1,1,3,1,Android Developer,2,2,0,2,54.952 TL - 67.202 TL
1,1,3,1,Solution Developer / Specialist,3,5,0,2,67.203 TL - 82.652 TL
1,0,2,2,DevOps,2,2,0,1,82.653 TL - 105.102 TL
1,1,3,2,Frontend Developer / Engineer,1,2,0,1,29.802 TL - 37.252 TL
0,0,1,1,Diğer,1,2,0,2,22.452 TL - 26.802 TL
1,1,1,1,Software Development Manager,3,5,0,,150.003 TL - 195.002 TL
1,1,3,4,Frontend Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,0,1,1,Fullstack Developer / Engineer,1,2,0,1,37.253 TL - 44.703 TL
1,1,1,1,Fullstack Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,1,1,1,System Administrator,1,2,0,2,29.802 TL - 37.252 TL
0,1,2,4,Frontend Developer / Engineer,2,2,0,1,54.952 TL - 67.202 TL
1,1,3,1,Backend Developer / Engineer,2,2,0,2,82.653 TL - 105.102 TL
1,1,2,3,Backend Developer / Engineer,2,3,0,2,54.952 TL - 67.202 TL
1,0,3,1,Backend Developer / Engineer,2,3,0,2,67.203 TL - 82.652 TL
1,1,3,2,Frontend Developer / Engineer,3,4,0,2,54.952 TL - 67.202 TL
0,0,3,1,Backend Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
2,1,2,1,Backend Developer / Engineer,1,1,0,2,17.002 TL - 22.451 TL
2,0,1,1,Software Engineer,1,2,0,1,22.452 TL - 26.802 TL
0,1,3,1,Frontend Developer / Engineer,2,2,0,2,54.952 TL - 67.202 TL
1,0,3,1,Backend Developer / Engineer,2,3,0,2,67.203 TL - 82.652 TL
0,0,1,1,AI - ML Developer / Engineer,3,4,0,1,195.003 TL - 239.002 TL
1,0,3,4,Research Engineer,3,4,0,1,373.503 TL ve üzeri
1,1,3,2,Mobile Developer(Cross Platform),1,2,0,2,44.704 TL - 54.951 TL
1,1,3,1,iOS Developer,1,2,0,2,37.253 TL - 44.703 TL
0,0,3,2,Product Owner,3,8,0,2,82.653 TL - 105.102 TL
0,1,2,3,Business Analyst,2,3,0,2,54.952 TL - 67.202 TL
1,1,3,3,Fullstack Developer / Engineer,2,3,0,2,82.653 TL - 105.102 TL
1,0,2,1,Fullstack Developer / Engineer,2,2,0,1,29.802 TL - 37.252 TL
1,1,2,4,Android Developer,2,3,0,1,44.704 TL - 54.951 TL
1,0,1,1,Intern,1,1,0,2,17.002 TL - 22.451 TL
1,1,1,1,Frontend Developer / Engineer,1,2,0,1,29.802 TL - 37.252 TL
1,1,2,2,Intern,1,2,0,2,17.002 TL - 22.451 TL
1,0,2,1,Mobile Developer(Cross Platform),2,3,0,1,44.704 TL - 54.951 TL
1,0,1,1,Software Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,0,1,1,Database Administrator,3,4,0,2,67.203 TL - 82.652 TL
1,0,2,1,Fullstack Developer / Engineer,1,2,0,1,37.253 TL - 44.703 TL
1,0,1,1,Android Developer,1,2,0,1,17.002 TL - 22.451 TL
1,0,1,1,Backend Developer / Engineer,2,3,0,1,17.002 TL - 22.451 TL
1,1,2,1,Backend Developer / Engineer,1,1,0,2,54.952 TL - 67.202 TL
1,1,2,1,Backend Developer / Engineer,1,1,0,2,54.952 TL - 67.202 TL
1,0,1,3,Embedded Developer / Engineer,1,1,0,2,54.952 TL - 67.202 TL
0,1,3,3,Fullstack Developer / Engineer,3,4,0,2,82.653 TL - 105.102 TL
1,0,2,4,DevOps,3,6,0,1,195.003 TL - 239.002 TL
0,1,3,3,Fullstack Developer / Engineer,2,3,0,2,82.653 TL - 105.102 TL
1,0,1,1,Software Engineer,3,6,0,1,67.203 TL - 82.652 TL
2,0,3,1,Diğer,3,5,0,3,127.553 TL - 150.002 TL
2,1,3,3,Q/A - Test Automation Engineer,1,2,0,1,29.802 TL - 37.252 TL
0,1,3,3,Fullstack Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
0,0,3,2,Business Analyst,1,1,0,2,44.704 TL - 54.951 TL
0,1,3,1,Data Analyst,1,2,0,2,26.803 TL - 29.801 TL
1,0,3,1,Mobile Developer(Cross Platform),2,3,0,1,17.002 TL - 22.451 TL
1,1,1,1,Software Engineer,2,2,0,2,54.952 TL - 67.202 TL
1,1,3,1,Software Architect,3,8,0,2,82.653 TL - 105.102 TL
1,1,3,1,Backend Developer / Engineer,3,4,0,2,82.653 TL - 105.102 TL
0,1,1,3,Frontend Developer / Engineer,3,4,0,1,67.203 TL - 82.652 TL
1,0,3,1,Backend Developer / Engineer,2,2,0,2,29.802 TL - 37.252 TL
1,1,1,1,Fullstack Developer / Engineer,3,6,0,1,29.802 TL - 37.252 TL
0,1,2,3,Data Engineer,1,2,0,2,37.253 TL - 44.703 TL
1,0,2,1,UI/UX Designer,3,6,0,1,29.802 TL - 37.252 TL
1,0,1,1,Fullstack Developer / Engineer,1,2,0,1,22.452 TL - 26.802 TL
0,0,2,1,Backend Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,0,3,2,Team Lead,3,6,0,2,150.003 TL - 195.002 TL
1,1,2,2,Software Engineer,1,2,0,2,44.704 TL - 54.951 TL
1,0,3,1,Frontend Developer / Engineer,1,2,0,1,29.802 TL - 37.252 TL
1,1,2,3,Software Engineer,Staff,8,0,1,127.553 TL - 150.002 TL
1,1,3,1,Fullstack Developer / Engineer,1,2,0,2,44.704 TL - 54.951 TL
0,1,2,3,Business Analyst,2,3,0,1,54.952 TL - 67.202 TL
1,1,3,2,Q/A - Test Automation Engineer,3,3,0,2,54.952 TL - 67.202 TL
1,0,2,3,Backend Developer / Engineer,2,4,0,4 veya üzeri,67.203 TL - 82.652 TL
1,0,1,1,Mobile Developer(Cross Platform),1,2,0,1,29.802 TL - 37.252 TL
0,1,3,3,Team Lead,3,6,0,1,105.103 TL - 127.552 TL
1,0,1,1,Team Lead,3,6,0,1,82.653 TL - 105.102 TL
1,0,1,1,Q/A - Test Automation Engineer,1,2,0,1,22.452 TL - 26.802 TL
1,1,3,1,Backend Developer / Engineer,1,2,0,1,37.253 TL - 44.703 TL
1,1,3,3,Backend Developer / Engineer,2,2,0,2,37.253 TL - 44.703 TL
1,1,2,3,Frontend Developer / Engineer,3,4,0,2,82.653 TL - 105.102 TL
1,1,3,1,Backend Developer / Engineer,3,5,0,2,105.103 TL - 127.552 TL
1,0,3,2,Cyber Security Engineer,2,4,0,2,82.653 TL - 105.102 TL
1,1,3,2,Data Analyst,3,4,0,2,44.704 TL - 54.951 TL
0,1,2,1,BI Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
1,1,3,4,Software Engineer,1,1,0,1,44.704 TL - 54.951 TL
0,0,1,3,Data Scientist,3,8,0,2,67.203 TL - 82.652 TL
1,0,3,3,Software Engineer,3,6,0,1,82.653 TL - 105.102 TL
1,1,3,2,Software Engineer,2,3,0,1,37.253 TL - 44.703 TL
