Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Erkek,,Hybrid,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,4 veya üzeri,82.653 TL - 105.102 TL
Erkek,,Remote,1-10,Mobile Developer(Cross Platform),Yeni mezun,0-1 Yıl,Flutter,Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Backend Developer / Engineer,Junior,3-5 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,,Ofiste,11-20,Backend Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
C, C++
ChatGPT
Swift",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Ofiste,1-10,Backend Developer / Engineer,Senior,9-12 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,51-150,IT Specialist,Staff,3-5 Yıl,Microsoft Office Araçları,Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,5-7 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,,Remote,1.000-5.000,Frontend Developer / Engineer,Mid,12 Yıl ve üzeri,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler",Euro,1,105.103 TL - 127.552 TL
Erkek,53 Rize,Remote,11-20,Backend Developer / Engineer,Mid,3-5 Yıl,"Linux
Python",Euro,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Hybrid,10.000 ve üzeri,Software Engineer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,06 Ankara,Ofiste,301-600,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,DevOps,Yeni mezun,0-1 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Kubernetes
Linux
Python",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Remote,51-150,Team Lead,Senior,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Python
R",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Mobile Developer(Cross Platform),Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Software Engineer,Junior,1-3 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,06 Ankara,Remote,1.000-5.000,Mobile Developer(Cross Platform),Senior,3-5 Yıl,"Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,,Remote,11-20,Tech Lead,Staff,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Python",Dolar,2,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Hybrid,5.000-10.000,Data Engineer,Senior,7-9 Yıl,"Java ve bağlı framework'ler
Python",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Team Lead,Senior,12 Yıl ve üzeri,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Hybrid,151-300,Q/A - Test Automation Engineer,Mid,3-5 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
SQL",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,21-50,Mobile Developer(Cross Platform),Mid,1-3 Yıl,Flutter,Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,301-600,Frontend Developer / Engineer,Mid,1-3 Yıl,"ChatGPT
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Backend Developer / Engineer,Mid,1-3 Yıl,"Java ve bağlı framework'ler
Linux",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,,Remote,51-150,Software Engineer,Senior,7-9 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
SQL",Dolar,2,150.003 TL - 195.002 TL
Kadın,34 İstanbul,Remote,51-150,Q/A - Test Automation Engineer,Junior,0-1 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Kubernetes
Linux
Microsoft Office Araçları
Python",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,41 Kocaeli,Hybrid,5.000-10.000,Cyber Security Engineer,Yeni mezun,0-1 Yıl,,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,,Remote,21-50,Fullstack Developer / Engineer,Senior,7-9 Yıl,,Euro,1,239.003 TL - 298.752 TL
Erkek,06 Ankara,Ofiste,21-50,Software Engineer,Mid,3-5 Yıl,"C# / .NET Framework
C, C++
ChatGPT",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,,Remote,151-300,Backend Developer / Engineer,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Fullstack Developer / Engineer,Yeni mezun,0-1 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Frontend Developer / Engineer,Senior,9-12 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,21-50,Data Engineer,Mid,1-3 Yıl,"ChatGPT
DevOps araçları
Python
SQL",Euro,1,239.003 TL - 298.752 TL
Erkek,41 Kocaeli,Hybrid,601-1.000,iOS Developer,Mid,1-3 Yıl,Swift,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,35 İzmir,Ofiste,11-20,Frontend Developer / Engineer,Junior,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Ofiste,21-50,Software Engineer,Senior,5-7 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,11-20,Business Analyst,Mid,1-3 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Ofiste,10.000 ve üzeri,Engineering Manager,Staff,12 Yıl ve üzeri,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Golang
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes
NoSQL",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Remote,51-150,AI - ML Developer / Engineer,Mid,3-5 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Linux
Python",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Remote,10.000 ve üzeri,Software Engineer,Mid,3-5 Yıl,"C# / .NET Framework
DevOps araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
No-code / Low-code Araçları
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Kadın,06 Ankara,Hybrid,10.000 ve üzeri,Data Scientist,Junior,1-3 Yıl,Python,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,21-50,Fullstack Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Python",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,11-20,Fullstack Developer / Engineer,Senior,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Rust",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Frontend Developer / Engineer,Junior,0-1 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Hybrid,301-600,Q/A - Test Automation Engineer,Junior,1-3 Yıl,"ChatGPT
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
No-code / Low-code Araçları
NoSQL
Python
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Kubernetes
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,34 İstanbul,Hybrid,301-600,DevOps,Yeni mezun,0-1 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Linux
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,21-50,Fullstack Developer / Engineer,Junior,0-1 Yıl,"Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Ofiste,1.000-5.000,Business Development Specialist,Junior,1-3 Yıl,,Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,51-150,Business Analyst,Senior,3-5 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Kadın,34 İstanbul,Remote,301-600,Business Analyst,Senior,3-5 Yıl,"Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
Python
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,11-20,Frontend Developer / Engineer,Mid,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Ofiste,301-600,IT Specialist,Mid,3-5 Yıl,"Linux
Microsoft Office Araçları",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,51-150,Mobile Developer(Cross Platform),Junior,0-1 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,11-20,Fullstack Developer / Engineer,Junior,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
Kubernetes",Türk Lirası,1,37.253 TL - 44.703 TL
Kadın,35 İzmir,Hybrid,11-20,Fullstack Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,1-10,CTO (Chief Technology Officer),Staff,12 Yıl ve üzeri,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Flutter
Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
PHP
SQL
Solidity",Dolar,1,127.553 TL - 150.002 TL
Erkek,,Ofiste,11-20,Project Manager,Senior,7-9 Yıl,,Euro,1,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Hybrid,1-10,Frontend Developer / Engineer,Senior,7-9 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Ofiste,11-20,CTO (Chief Technology Officer),Senior,12 Yıl ve üzeri,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,41 Kocaeli,Remote,1.000-5.000,Business Analyst,Yeni mezun,0-1 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Software Engineer,Senior,7-9 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Golang
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Data Scientist,Yeni mezun,0-1 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL
Python
R
SAP
SQL",Türk Lirası,2,17.002 TL - 22.451 TL
Kadın,29 Gümüşhane,Remote,10.000 ve üzeri,Intern,Yeni mezun,0-1 Yıl,"Adobe CC araçları
ABAP
C# / .NET Framework
C, C++
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Flutter
Golang
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Kubernetes
Linux
Microsoft Office Araçları
No-code / Low-code Araçları
NoSQL
PHP
Python
R
Ruby
Rust
SAP
SQL
Solidity
Swift
Salesforce",Sterlin,4 veya üzeri,373.503 TL ve üzeri
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,IT Specialist,Senior,7-9 Yıl,"C# / .NET Framework
C, C++
Python
R",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Solution Developer / Specialist,Junior,0-1 Yıl,"Java ve bağlı framework'ler
Linux
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Frontend Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,,Remote,21-50,Fullstack Developer / Engineer,Mid,1-3 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
PHP",Dolar,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,1-10,Q/A - Test Automation Engineer,Junior,1-3 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
No-code / Low-code Araçları
Python
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,11-20,Backend Developer / Engineer,Senior,7-9 Yıl,PHP,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,51-150,Android Developer,Senior,5-7 Yıl,"ChatGPT
Kotlin",Dolar,2,105.103 TL - 127.552 TL
Erkek,06 Ankara,Hybrid,151-300,Backend Developer / Engineer,Junior,0-1 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Kubernetes",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,151-300,Frontend Developer / Engineer,Senior,7-9 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,151-300,AI - ML Developer / Engineer,Mid,1-3 Yıl,Python,Türk Lirası,4 veya üzeri,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Ofiste,151-300,Embedded Developer / Engineer,Mid,5-7 Yıl,"C, C++",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,68 Aksaray,Remote,1-10,Fullstack Developer / Engineer,Mid,5-7 Yıl,"ChatGPT
Linux
PHP",Türk Lirası,4 veya üzeri,373.503 TL ve üzeri
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Ofiste,301-600,Software Design Engineer,Junior,1-3 Yıl,"C, C++
Java ve bağlı framework'ler
Linux",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,34 İstanbul,Hybrid,151-300,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
ChatGPT
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,1,26.803 TL - 29.801 TL
Erkek,34 İstanbul,Remote,151-300,Frontend Developer / Engineer,Mid,5-7 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Ofiste,51-150,IT Specialist,Yeni mezun,0-1 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Linux",Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Team Lead,Senior,9-12 Yıl,"C# / .NET Framework
ChatGPT
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,150.003 TL - 195.002 TL
Erkek,06 Ankara,Hybrid,10.000 ve üzeri,Backend Developer / Engineer,Senior,5-7 Yıl,"C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,67.203 TL - 82.652 TL
Kadın,41 Kocaeli,Hybrid,151-300,Fullstack Developer / Engineer,Senior,5-7 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Backend Developer / Engineer,Junior,1-3 Yıl,"DevOps araçları
Golang
Java ve bağlı framework'ler
Kotlin
Kubernetes
NoSQL
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Kadın,34 İstanbul,Hybrid,301-600,Fullstack Developer / Engineer,Yeni mezun,0-1 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Ofiste,5.000-10.000,Backend Developer / Engineer,Junior,1-3 Yıl,"C, C++
Java ve bağlı framework'ler",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,601-1.000,AI - ML Developer / Engineer,Yeni mezun,0-1 Yıl,"ChatGPT
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL
Python
SQL",Türk Lirası,3,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,1-10,Fullstack Developer / Engineer,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Ofiste,51-150,Research and Development Engineer,Mid,3-5 Yıl,"C# / .NET Framework
ChatGPT
Microsoft Office Araçları
Python",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Backend Developer / Engineer,Yeni mezun,1-3 Yıl,"C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Software Engineer,Junior,0-1 Yıl,"ChatGPT
DevOps araçları
Java ve bağlı framework'ler
Microsoft Office Araçları",Türk Lirası,2,44.704 TL - 54.951 TL
Belirtmek İstemiyorum,34 İstanbul,Hybrid,,iOS Developer,Junior,1-3 Yıl,Swift,Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,21-50,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,5.000-10.000,UI/UX Designer,Mid,3-5 Yıl,Figma / XD ve diğer tasarım araçları,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,21-50,Frontend Developer / Engineer,Mid,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,35 İzmir,Remote,10.000 ve üzeri,Data Scientist,Yeni mezun,0-1 Yıl,Python,Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Remote,51-150,Data Analyst,Junior,0-1 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
SQL",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Remote,21-50,Cyber Security Engineer,Junior,1-3 Yıl,"ChatGPT
Linux
Microsoft Office Araçları
Python",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,301-600,Team Lead,Staff,7-9 Yıl,Swift,Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Remote,301-600,Q/A - Test Automation Engineer,Mid,1-3 Yıl,"C# / .NET Framework
C, C++
Javascript / Typescript ve bağlı framework'ler
Linux
Microsoft Office Araçları
NoSQL
Python
SQL",Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,,Remote,301-600,Frontend Developer / Engineer,Junior,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
PHP",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Ofiste,1-10,Fullstack Developer / Engineer,Mid,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
NoSQL",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,151-300,DevOps,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,21-50,Fullstack Developer / Engineer,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Backend Developer / Engineer,Mid,3-5 Yıl,"Java ve bağlı framework'ler
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,151-300,Software Architect,Senior,9-12 Yıl,"C# / .NET Framework
C, C++
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
SQL",Türk Lirası,2,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Hybrid,151-300,Data Scientist,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Python
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,4 veya üzeri,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,151-300,Software Engineer,Senior,5-7 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Ofiste,1-10,Mobile Developer(Cross Platform),Junior,1-3 Yıl,"Flutter
Java ve bağlı framework'ler
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Product Manager,Mid,3-5 Yıl,"Adobe CC araçları
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
No-code / Low-code Araçları",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Ofiste,601-1.000,Backend Developer / Engineer,Senior,12 Yıl ve üzeri,"Javascript / Typescript ve bağlı framework'ler
PHP",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,51-150,Game Developer / Engineer,Senior,5-7 Yıl,"C, C++
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,1,67.203 TL - 82.652 TL
Kadın,34 İstanbul,Ofiste,1-10,Product Owner,Junior,1-3 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,1,29.802 TL - 37.252 TL
