Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Kadın,,Hybrid,601-1.000,Software Engineer,Yeni mezun,0-1 Yıl,"C, C++
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python
SQL",Sterlin,1,195.003 TL - 239.002 TL
Erkek,34 İstanbul,Hybrid,51-150,iOS Developer,Mid,3-5 Yıl,"C# / .NET Framework
C, C++
ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Python",Türk Lirası,2,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Hybrid,601-1.000,Backend Developer / Engineer,Yeni mezun,0-1 Yıl,"C# / .NET Framework
Microsoft Office Araçları",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,06 Ankara,Hybrid,21-50,Solutions Architect,Mid,1-3 Yıl,"ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL
PHP
Python",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Remote,11-20,Game Developer / Engineer,Junior,1-3 Yıl,C# / .NET Framework,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,06 Ankara,Hybrid,1.000-5.000,Software Engineer,Senior,7-9 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,151-300,BI Developer / Engineer,Senior,5-7 Yıl,SQL,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Software Engineer,Senior,3-5 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,16 Bursa,Ofiste,1-10,Frontend Developer / Engineer,Mid,1-3 Yıl,"ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,1-10,Frontend Developer / Engineer,Mid,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,35 İzmir,Hybrid,51-150,Oracle Developer,Junior,1-3 Yıl,"ChatGPT
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
No-code / Low-code Araçları
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Kadın,34 İstanbul,Remote,5.000-10.000,Q/A - Test Automation Engineer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
SQL",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,06 Ankara,Ofiste,10.000 ve üzeri,IT Specialist,Senior,5-7 Yıl,Microsoft Office Araçları,Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,41 Kocaeli,Hybrid,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
Java ve bağlı framework'ler
Kotlin
Microsoft Office Araçları
SQL
Swift",Türk Lirası,2,44.704 TL - 54.951 TL
