gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Erkek,İstanbul,Hibrit (Ofis + Remote),51 - 100 Kişi,Mobile Application Developer (Full Stack),Middle,3 - 5 Yıl,Java;Swift;React Native,₺ - Türk Lirası,3,42.000 - 42.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,RPA Developer,Middle,3 - 5 Yıl,Uipath,₺ - Türk Lirası,2,80.000 - 84.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Game Developer,Senior,3 - 5 Yıl,.Net;Unity,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,İstanbul,Remote,250+,Product Owner,Senior,15 Yıl ve üzeri,Java,₺ - Türk Lirası,2,200.000+
Erkek,Balıkesir,Remote,6 - 10 Kişi,Full Stack Developer,Middle,1 - 3 Yıl,.Net;NodeJS;JavaScript | Html | Css;Vue;Angular,₺ - Türk Lirası,4,35.000 - 35.999
Erkek,Ankara,Remote,250+,Back-end Developer,Senior,5 - 7 Yıl,Java;Go,₺ - Türk Lirası,2,135.000 - 139.999
Erkek,Trabzon,Hibrit (Ofis + Remote),250+,Full Stack Developer,Middle,5 - 7 Yıl,Java;React,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,5 - 7 Yıl,Python,₺ - Türk Lirası,2,75.000 - 79.999
Kadın,İstanbul,Remote,250+,DevOps Engineer,Junior,1 - 3 Yıl,Python,₺ - Türk Lirası,2,75.000 - 79.999
Erkek,İstanbul,Ofis,101 - 249 Kişi,Back-end Developer,Senior,12 - 14 Yıl,Php,₺ - Türk Lirası,1,200.000+
Erkek,* Suudi Arabistan,Remote,21 - 50 Kişi,Director of Software Development,Senior,15 Yıl ve üzeri,Java;Php;NodeJS;Python;Kotlin;Swift;JavaScript | Html | Css;React,$ - Dolar,1,8.000 - 8.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Full Stack Developer,Senior,7 - 10 Yıl,Java;Php;Vue;React Native,₺ - Türk Lirası,2,55.000 - 55.999
Erkek,Bursa,Ofis,250+,Full Stack Developer,Middle,1 - 3 Yıl,Python;React;Vue;Flutter,₺ - Türk Lirası,1,22.000 - 22.999
Erkek,İstanbul,Ofis,250+,Full Stack Developer,Junior,0 - 1 Yıl,.Net;JavaScript | Html | Css,₺ - Türk Lirası,2,42.000 - 42.999
Erkek,İstanbul,Remote,11 - 20 Kişi,AI Engineer,Middle,1 - 3 Yıl,Python,₺ - Türk Lirası,3,45.000 - 45.999
